id,uuid,property_group_id,flat_uuid,flat_number,title,monthly_rent,description,available_from,photo_urls,is_active,custom_rules,manager_id,created_at,updated_at,square_footage,included_utilities,parking,laundry,street_address,city,state,country
25,f76d0f9a-8181-4c4c-b0a6-e2212634c2bc,a6a81725-969e-40d0-b513-80afa241d06f,d633657c-94ec-490e-9056-63bc507d8c2e,222,Spacious 1 bhk,300.0,,2026-05-29,[],true,"{""pets_allowed"": ""yes"", ""custom_question"": """", ""income_required"": true, ""vegetarian_only"": false, ""lease_term_months"": 11}",02672346-db53-4f2f-9a68-f2bf87ebf95c,2026-05-23 12:01:48.071947+00,2026-05-23 12:01:48.071947+00,,[],,,,,,Canada
69,0933ca24-3199-4056-ba35-d86a3e304283,801790f8-9156-4a7c-aed0-47e46b3454be,bcecad63-49dc-457c-aaf2-c36ebefc5705,103,,299.0,,2026-09-09,[],true,"{""non_smoking"": true, ""pets_allowed"": ""no"", ""custom_question"": """", ""income_required"": false, ""vegetarian_only"": false, ""lease_term_months"": 11}",28c43c77-8c9c-496f-8d1e-39ffa9d619e3,2026-06-07 09:59:47.687136+00,2026-06-07 09:59:47.687136+00,1887,[],none,none,,Ranchi,Jharkhand,india
70,5de7e17f-4107-4d23-b2c7-33c1495f4920,aeb9d575-42e2-439f-ad81-8e99ae6900ed,6bd51435-67a9-4dce-bb74-938d1c86eec4,B202,,367.0,,2026-07-09,[],true,"{""non_smoking"": true, ""pets_allowed"": ""no"", ""custom_question"": """", ""income_required"": false, ""vegetarian_only"": false, ""lease_term_months"": 11}",28c43c77-8c9c-496f-8d1e-39ffa9d619e3,2026-06-07 10:00:26.540969+00,2026-06-07 10:00:26.540969+00,888,"[""water"",""electricity"",""internet""]",none,none,,,,Canada
71,16181a8d-5cdb-489a-8951-cae1c17aae26,801790f8-9156-4a7c-aed0-47e46b3454be,f50ee23b-32ca-4d74-8601-08bea9265050,101,,3322.0,,2026-07-09,[],true,"{""non_smoking"": true, ""pets_allowed"": ""no"", ""custom_question"": """", ""income_required"": false, ""vegetarian_only"": false, ""lease_term_months"": 11}",28c43c77-8c9c-496f-8d1e-39ffa9d619e3,2026-06-07 12:35:54.111594+00,2026-06-07 12:35:54.111594+00,452,"[""water"",""electricity""]",none,none,,Dehradun,Uttrakhand,India
27,c4cb0eb8-8183-4469-865b-6732c9640eba,f8701668-6347-419c-9fc1-8dc576dcb9a9,92b20218-9fa7-4042-b839-85c7d4d7544d,546,,200.0,,,[],true,"{""pets_allowed"": ""no"", ""max_occupants"": null, ""custom_question"": """", ""income_required"": false, ""vegetarian_only"": false, ""lease_term_months"": 11}",7fb0c018-68da-425d-89fb-521dfeb1fe81,2026-05-23 16:38:23.699679+00,2026-05-23 22:08:29+00,,[],,,,,,Canada
26,739528d9-7cbf-43cc-811c-4fe66e81ade0,f8701668-6347-419c-9fc1-8dc576dcb9a9,cdec6ccf-2bd0-4fce-884f-eec8b18323ac,265,,300.0,,2026-05-27,[],true,"{""pets_allowed"": ""no"", ""max_occupants"": null, ""custom_question"": """", ""income_required"": true, ""vegetarian_only"": false, ""lease_term_months"": 11}",7fb0c018-68da-425d-89fb-521dfeb1fe81,2026-05-23 12:21:47.780565+00,2026-05-23 22:00:48+00,,[],,,,,,Canada
52,766e7605-b179-48fc-95e9-f316141ca74b,6e94af68-1a90-4719-8530-dd7319647854,ea333ea1-e2f6-477d-afa5-ae5ea103dc3b,408,,1200.0,,2026-06-14,[],true,"{""non_smoking"": true, ""pets_allowed"": ""yes"", ""custom_question"": """", ""income_required"": false, ""vegetarian_only"": false, ""lease_term_months"": 12}",eb4b27dc-c475-473b-adda-d61b3d084e9d,2026-06-04 17:59:27.153622+00,2026-06-04 17:59:27.153622+00,,"[""heat"",""water"",""electricity"",""internet"",""cable""]",street,in-unit,,,,Canada
53,e041c2b7-02be-488d-b2c8-357fd4ff3e8c,6e94af68-1a90-4719-8530-dd7319647854,ee76b440-6f8a-417a-96a5-5b27a76cae38,407,,1200.0,,2026-06-22,[],true,"{""non_smoking"": true, ""pets_allowed"": ""yes"", ""custom_question"": """", ""income_required"": false, ""vegetarian_only"": false, ""lease_term_months"": 11}",eb4b27dc-c475-473b-adda-d61b3d084e9d,2026-06-04 18:28:21.345127+00,2026-06-04 18:28:21.345127+00,,"[""heat"",""water"",""electricity"",""internet"",""cable""]",indoor,in-unit,,,,Canada
