id,uuid,property_group_id,flat_uuid,flat_number,title,monthly_rent,description,available_from,photo_urls,is_active,custom_rules,manager_id,created_at,updated_at,square_footage,included_utilities,parking,laundry,street_address,city,state,country,bedrooms,bathrooms,living_rooms,kitchen,quebec_size
84,969edc2b-a50d-4469-8752-39a910c1304f,6e94af68-1a90-4719-8530-dd7319647854,5ccfcf52-f7b8-4971-b91c-64a84281ad02,76,,1400.0,,2026-06-22,[],true,"{""non_smoking"": true, ""pets_allowed"": ""no"", ""custom_question"": """", ""income_required"": false, ""vegetarian_only"": false, ""lease_term_months"": 11}",eb4b27dc-c475-473b-adda-d61b3d084e9d,2026-06-20 20:57:44.52478+00,2026-06-20 20:57:44.52478+00,,"[""heat"",""water"",""electricity"",""internet"",""cable""]",indoor,in-unit,2803 Rue Du Comtois,Saint-Lazare,QC,Canada,2,1,1,1,4½
83,6165e67e-8020-4827-836d-55b650b8358a,546689ac-1856-4db6-b858-ba2eb97dc48d,663b4efd-f101-4708-b39c-f2f578d915fb,21,,1300.0,,,[],true,"{""non_smoking"": true, ""pets_allowed"": ""no"", ""custom_question"": """", ""income_required"": false, ""vegetarian_only"": false, ""lease_term_months"": 11}",eb4b27dc-c475-473b-adda-d61b3d084e9d,2026-06-20 20:56:25.253625+00,2026-06-20 20:56:25.253625+00,,"[""heat"",""water"",""electricity"",""cable"",""internet""]",indoor,in-unit,,,,Canada,3,2,1,1,
85,e86e8e68-773b-49d9-b30f-b735808e4ef5,69ddc0e8-5be0-4cb7-8fea-436f99f51100,c6e19993-190f-4db3-b289-61cdd2b4d36b,89,,1600.0,,2026-06-21,[],true,"{""non_smoking"": true, ""pets_allowed"": ""no"", ""custom_question"": """", ""income_required"": false, ""vegetarian_only"": false, ""lease_term_months"": 11}",eb4b27dc-c475-473b-adda-d61b3d084e9d,2026-06-20 20:58:51.721034+00,2026-06-20 20:58:51.721034+00,,"[""water"",""electricity"",""heat"",""cable"",""internet""]",indoor,in-unit,29 Boulevard Sainte-Marguerite,Châteauguay,Quebec,Canada,3,1,1,1,5½
